id,nombre,horasTrabajadas,sueldo
4,Vampire Bat,Cati Grim,3983.000000,4
10,Rebel,Rosamund Broadhead,1156.000000,4
22,Temp The,Bonita Delong,3951.000000,4
28,388 Arletta Avenue,Cyndy Gipp,1375.000000,4
34,Biutiful,Patin Mager,1707.000000,4
40,Under the Same Moon,Eugenie Maier,524.000000,4
46,No Way Back,Perceval Hamsley,2055.000000,4
52,Dirty Wars,Bertie Gniewosz,3448.000000,4
58,Snow White and the Huntsman,Winny Muehler,3106.000000,4
64,Kill Switch,Baxter Templeman,4343.000000,4
70,Prayer for the Dying,Edyth Whitwell,1919.000000,4
76,Breed Apart,Aile Barnwill,1339.000000,4
82,Great Race,Demetri Jovasevic,1834.000000,4
88,I Killed My Mother ,Nikolaos Silwood,2167.000000,4
94,Suicide Club,Ansell Picford,4276.000000,4
100,Last Days in Vietnam,Lolly Erie,4867.000000,4
